fullname,othernames,firstname,lastname
fluffy,NA,NA,NA
gornuk,NA,NA,NA
grawp,NA,NA,NA
griphook,NA,NA,NA
hedwig,NA,NA,NA
hokey,NA,NA,NA
kreacher,NA,NA,NA
magorian,NA,NA,NA
great aunt muriel,NA,great,muriel
nagini,NA,NA,NA
nearly headless nick,NA,nearly,nick
norbert/norberta,NA,NA,NA
peeves,NA,NA,NA
pigwidgeon,NA,NA,NA
madam rosmerta,NA,madam,rosmerta
ronan,NA,NA,NA
scabbers,NA,NA,NA
scabior,NA,NA,NA
travers,NA,NA,NA
trevor,NA,NA,NA
winky,NA,NA,NA
mad-eye moody,NA,mad-eye,moody
"barty crouch, jr.",NA,barty,"crouch, jr."
"barty crouch, sr.",NA,barty,"crouch, sr."
marge dursley,NA,marge,dursley
petunia evans,NA,petunia,evans
bellartix black,NA,bellartix,black
narcissa black,NA,narcissa,black
lily evans,NA,lily,evans
helena ravenclaw,NA,helena,ravenclaw
andromeda black,NA,andromeda,black
tom riddle,NA,tom,riddle
molly prewett,NA,molly,prewett
alice longbottom,NA,alice,longbottom
frank longbottom,NA,frank,longbottom
moaning myrtle,NA,moaning,myrtle
myrtle warren,NA,myrtle,warren
